"URL","page type","primary query","secondary queries","monetization relevance","cannibalization notes"
"/","root-redirect","Locale Redirect","","low","Low overlap risk"
"/_not-found","404","404: This page could not be found.","","low","Low overlap risk"
"/ar","homepage","browser pdf tools","private pdf tools; local pdf tools; pdf tools without upload; OpenToolsKit","medium","Low overlap risk"
"/ar/about","trust-page","about opentoolskit","opentoolskit agpl; browser side file tools; private utility platform; OpenToolsKit","medium","Low overlap risk"
"/ar/contact","trust-page","opentoolskit support","opentoolskit github; opentoolskit source code; agpl source availability; OpenToolsKit","medium","Low overlap risk"
"/ar/faq","trust-page","opentoolskit faq","browser pdf tools faq; pdf privacy faq; local pdf processing questions; OpenToolsKit","medium","Low overlap risk"
"/ar/privacy","trust-page","browser side file processing privacy policy","opentoolskit privacy policy; local pdf processing privacy; pdf tools privacy; OpenToolsKit","medium","Low overlap risk"
"/ar/tools","tools-directory","pdf tool directory","pdf tools list; online pdf tools without upload; browser pdf toolkit; OpenToolsKit","medium","Low overlap risk"
"/ar/tools/add-attachments","tool-page","Ø¥Ø¶Ø§ÙØ© Ù…Ø±ÙÙ‚Ø§Øª","embed files pdf; multiple attachments pdf; any format pdf; Ù…Ø±ÙÙ‚Ø§Øª pdf","high","Low overlap risk"
"/ar/tools/add-blank-page","tool-page","Ø¥Ø¶Ø§ÙØ© ØµÙØ­Ø© ÙØ§Ø±ØºØ©","insert position pdf; page size pdf; multiple pages pdf; Ø¥Ø¯Ø±Ø§Ø¬ ØµÙØ­Ø©","high","Low overlap risk"
"/ar/tools/add-stamps","tool-page","Ø¥Ø¶Ø§ÙØ© Ø·ÙˆØ§Ø¨Ø¹","image stamps pdf; preset stamps pdf; custom position pdf; Ø·ÙˆØ§Ø¨Ø¹ pdf","high","Low overlap risk"
"/ar/tools/add-watermark","tool-page","add watermark to pdf","watermark pdf in browser; add text watermark pdf; add image watermark pdf; Ø¥Ø¶Ø§ÙØ© Ø¹Ù„Ø§Ù…Ø© Ù…Ø§Ø¦ÙŠØ©","high","Low overlap risk"
"/ar/tools/alternate-merge","tool-page","Ø§Ù„Ø¯Ù…Ø¬ Ø§Ù„Ù…ØªÙ†Ø§ÙˆØ¨","alternate pages pdf; preserve bookmarks pdf; custom order pdf; Ø¯Ù…Ø¬ Ù…ØªÙ†Ø§ÙˆØ¨","high","Low overlap risk"
"/ar/tools/background-color","tool-page","Ù„ÙˆÙ† Ø§Ù„Ø®Ù„ÙÙŠØ©","custom color pdf; all pages pdf; selected pages pdf; Ù„ÙˆÙ† Ø®Ù„ÙÙŠØ© pdf","high","Low overlap risk"
