"URL","primary query","secondary queries","page type","cannibalization notes"
"/","Locale Redirect","","root-redirect","Low overlap risk"
"/_not-found","404: This page could not be found.","","404","Low overlap risk"
"/ar","browser pdf tools","private pdf tools; local pdf tools; pdf tools without upload; OpenToolsKit","homepage","Low overlap risk"
"/ar/about","about opentoolskit","opentoolskit agpl; browser side file tools; private utility platform; OpenToolsKit","trust-page","Low overlap risk"
"/ar/contact","opentoolskit support","opentoolskit github; opentoolskit source code; agpl source availability; OpenToolsKit","trust-page","Low overlap risk"
"/ar/faq","opentoolskit faq","browser pdf tools faq; pdf privacy faq; local pdf processing questions; OpenToolsKit","trust-page","Low overlap risk"
"/ar/privacy","browser side file processing privacy policy","opentoolskit privacy policy; local pdf processing privacy; pdf tools privacy; OpenToolsKit","trust-page","Low overlap risk"
"/ar/tools","pdf tool directory","pdf tools list; online pdf tools without upload; browser pdf toolkit; OpenToolsKit","tools-directory","Low overlap risk"
"/ar/tools/add-attachments","Ø¥Ø¶Ø§ÙØ© Ù…Ø±ÙÙ‚Ø§Øª","embed files pdf; multiple attachments pdf; any format pdf; Ù…Ø±ÙÙ‚Ø§Øª pdf","tool-page","Low overlap risk"
"/ar/tools/add-blank-page","Ø¥Ø¶Ø§ÙØ© ØµÙØ­Ø© ÙØ§Ø±ØºØ©","insert position pdf; page size pdf; multiple pages pdf; Ø¥Ø¯Ø±Ø§Ø¬ ØµÙØ­Ø©","tool-page","Low overlap risk"
"/ar/tools/add-stamps","Ø¥Ø¶Ø§ÙØ© Ø·ÙˆØ§Ø¨Ø¹","image stamps pdf; preset stamps pdf; custom position pdf; Ø·ÙˆØ§Ø¨Ø¹ pdf","tool-page","Low overlap risk"
"/ar/tools/add-watermark","add watermark to pdf","watermark pdf in browser; add text watermark pdf; add image watermark pdf; Ø¥Ø¶Ø§ÙØ© Ø¹Ù„Ø§Ù…Ø© Ù…Ø§Ø¦ÙŠØ©","tool-page","Low overlap risk"
"/ar/tools/alternate-merge","Ø§Ù„Ø¯Ù…Ø¬ Ø§Ù„Ù…ØªÙ†Ø§ÙˆØ¨","alternate pages pdf; preserve bookmarks pdf; custom order pdf; Ø¯Ù…Ø¬ Ù…ØªÙ†Ø§ÙˆØ¨","tool-page","Low overlap risk"
